reading_id,timestamp,year,month,hour,day_of_week,is_weekend,is_rush_hour,season,station_id,station_type,elevation_m,near_highway,near_industry,temp_c,humidity_pct,wind_speed_ms,wind_dir_deg,pressure_hpa,precipitation_mm,visibility_km,temp_inversion,pm25,pm10,no2,o3,so2,co,benzene,aqi,label_respiratory_risk,label_cardiovascular_risk,label_vulnerable_alert,label_outdoor_warning,label_industrial_event
RDG0003315,2021-12-24 18:00:00,2021,12,18,4,0,1,Winter,STN_URBAN_01,Urban,100.4,1,0,11.9,60.4,0.5,,1016.5,1.0,14.7,0,58.3,92.0,61.9,33.2,0.7,6.01,3.24,152,1,1,1,1,0
RDG0009080,2023-09-19 21:00:00,2023,9,21,1,0,0,Fall,STN_SUBURB_01,Suburban,61.9,0,0,18.4,45.4,12.4,246.1,1017.4,0.0,6.2,0,8.5,16.2,63.6,8.9,13.2,0.59,5.0,35,0,0,0,0,0
RDG0005620,2022-08-28 11:00:00,2022,8,11,6,1,0,Summer,STN_SUBURB_01,Suburban,27.1,0,0,26.7,52.9,2.9,239.5,1010.6,0.0,4.3,0,13.2,23.0,16.5,74.8,3.3,1.61,2.55,53,0,0,1,0,0
RDG0009213,2023-10-05 06:00:00,2023,10,6,3,0,0,Fall,STN_URBAN_02,Urban,96.1,0,0,18.2,43.4,1.9,345.0,1018.5,0.0,12.4,0,20.1,41.5,58.1,17.0,22.5,1.5,,68,0,0,1,0,0
RDG0009206,2023-10-04 05:00:00,2023,10,5,2,0,0,Fall,STN_INDUSTRIAL_01,Industrial,11.8,1,1,9.4,43.0,17.5,24.7,1007.1,10.0,3.6,0,25.5,48.2,66.4,30.8,33.9,3.31,6.2,79,0,0,1,0,1
RDG0005400,2022-08-05 19:00:00,2022,8,19,4,0,1,Summer,STN_SUBURB_02,Suburban,7.4,0,0,22.9,82.8,0.9,324.2,1013.9,1.0,28.0,0,11.1,17.1,21.5,41.3,2.7,9.32,1.75,46,0,0,0,0,0
RDG0008955,2023-09-03 22:00:00,2023,9,22,6,1,0,Fall,STN_INDUSTRIAL_01,Industrial,37.3,1,1,5.5,61.4,9.0,192.5,1012.5,0.0,13.9,0,76.3,162.9,85.7,41.0,23.0,17.23,7.09,162,1,1,1,1,1
RDG0007897,2023-05-08 17:00:00,2023,5,17,0,0,1,Spring,STN_RURAL_01,Rural,319.7,0,0,11.3,50.4,1.8,176.9,1017.3,0.0,6.4,0,15.3,27.9,5.9,88.7,2.5,3.07,2.0,58,0,0,1,0,0
RDG0005235,2022-07-17 10:00:00,2022,7,10,6,1,0,Summer,STN_SUBURB_01,Suburban,109.0,0,0,18.3,45.1,5.4,65.8,,0.0,11.2,0,9.0,17.1,54.8,50.0,9.5,1.06,0.81,38,0,0,0,0,0
RDG0006795,2023-01-03 14:00:00,2023,1,14,1,0,0,Winter,STN_URBAN_01,Urban,25.6,1,0,3.5,97.8,4.7,211.1,1003.4,0.0,20.2,0,33.9,54.1,42.7,33.8,37.6,10.39,,97,0,1,1,0,0
RDG0002492,2021-09-26 18:00:00,2021,9,18,6,1,1,Fall,STN_URBAN_02,Urban,82.6,0,0,13.9,67.7,6.1,337.9,1012.5,0.0,7.8,0,22.9,31.4,20.3,80.1,18.8,4.83,8.52,74,0,1,1,0,1
RDG0005199,2022-07-14 02:00:00,2022,7,2,3,0,0,Summer,STN_SUBURB_01,Suburban,78.5,0,0,27.2,47.9,4.7,265.9,1018.2,0.0,7.6,0,9.5,22.9,94.7,32.5,2.4,8.42,2.31,40,0,0,0,0,0
RDG0002922,2021-11-10 09:00:00,2021,11,9,2,0,1,Fall,STN_SUBURB_01,Suburban,77.5,0,0,17.7,66.5,8.4,,1011.4,0.0,17.7,0,14.9,24.0,24.2,84.9,16.8,3.72,3.6,57,0,0,1,0,0
RDG0006997,2023-01-25 19:00:00,2023,1,19,2,0,1,Winter,STN_SUBURB_02,Suburban,35.2,0,0,3.1,59.2,1.5,218.6,1007.9,0.0,3.9,0,61.3,87.8,23.9,36.6,8.5,5.13,3.1,154,1,1,1,1,0
RDG0003299,2021-12-23 01:00:00,2021,12,1,3,0,0,Winter,STN_URBAN_01,Urban,23.6,1,0,5.4,85.6,2.0,355.3,1012.8,0.0,3.2,0,53.4,108.2,36.7,25.0,9.4,6.65,12.8,145,1,0,1,1,1
RDG0004899,2022-06-14 03:00:00,2022,6,3,1,0,0,Summer,STN_SUBURB_01,Suburban,116.7,0,0,20.2,57.7,0.4,265.9,1010.8,0.0,12.5,0,15.9,25.2,15.1,39.0,7.6,1.69,14.0,59,1,0,1,0,1
RDG0008471,2023-07-11 09:00:00,2023,7,9,1,0,1,Summer,STN_RURAL_01,Rural,492.0,0,0,28.6,49.1,0.1,125.0,1009.8,0.0,9.5,0,39.3,61.4,55.0,84.9,10.6,1.85,1.28,110,1,0,1,1,0
RDG0002485,2021-09-25 23:00:00,2021,9,23,5,1,0,Fall,STN_URBAN_02,Urban,109.5,0,0,11.0,37.5,0.2,280.4,1011.6,0.0,5.5,0,11.3,19.4,23.9,45.0,9.2,2.75,2.75,47,0,0,0,0,0
RDG0003945,2022-03-03 11:00:00,2022,3,11,3,0,0,Spring,STN_INDUSTRIAL_01,Industrial,27.0,1,1,16.3,52.3,8.6,,1013.1,0.0,9.5,0,63.1,129.6,90.0,52.6,29.1,2.49,12.43,155,1,1,1,1,1
RDG0001593,2021-06-21 04:00:00,2021,6,4,0,0,0,Summer,STN_URBAN_02,Urban,95.6,0,0,32.0,77.7,1.2,21.3,1002.4,2.0,9.5,0,15.3,18.7,16.2,103.9,19.6,5.27,5.23,58,0,0,1,1,1
RDG0002882,2021-11-06 07:00:00,2021,11,7,5,1,1,Fall,STN_SUBURB_01,Suburban,55.7,0,0,12.8,95.1,0.6,26.2,999.1,0.0,5.1,0,26.6,46.9,62.0,11.3,2.0,1.48,2.18,81,0,0,1,0,0
RDG0004957,2022-06-19 06:00:00,2022,6,6,6,1,0,Summer,STN_RURAL_01,Rural,589.9,0,0,33.6,83.7,3.3,283.7,1013.5,0.0,4.1,0,12.6,22.7,27.5,23.1,2.7,1.86,2.72,52,0,0,1,0,0
RDG0003508,2022-01-14 10:00:00,2022,1,10,4,0,0,Winter,STN_URBAN_02,Urban,107.7,0,0,5.4,75.0,0.3,225.0,1006.3,0.0,9.0,0,51.6,83.6,23.2,9.2,7.1,1.55,,141,1,0,1,1,1
RDG0001183,2021-05-07 08:00:00,2021,5,8,4,0,1,Spring,STN_SUBURB_02,Suburban,106.3,0,0,11.0,75.3,4.8,269.0,1016.7,0.5,10.6,0,9.1,15.3,50.8,70.3,6.3,1.0,3.93,38,0,0,0,0,0
RDG0000483,2021-02-23 21:00:00,2021,2,21,1,0,0,Winter,STN_URBAN_02,Urban,115.7,0,0,-1.3,77.5,1.4,,1003.3,0.0,7.8,0,24.4,55.1,23.3,24.6,4.8,1.22,,77,0,0,1,0,0
RDG0003881,2022-02-24 14:00:00,2022,2,14,3,0,0,Winter,STN_SUBURB_01,Suburban,51.2,0,0,2.1,89.8,10.0,25.3,1033.5,5.0,13.2,0,12.7,20.6,53.1,32.8,7.3,2.63,,52,0,0,1,0,0
