transaction_id,timestamp,hour_of_day,day_of_week,is_weekend,month,account_type,account_age_months,account_balance,customer_age,customer_segment,txn_type,txn_direction,txn_amount,counterparty_country,is_high_risk_country,is_cross_border,txn_count_7d,txn_count_30d,avg_txn_amount_30d,max_txn_amount_30d,unique_counterparties_30d,cross_border_ratio_30d,structuring_flag,prior_sar_count,kyc_risk_score
TXN0007858,2023-05-04 00:53:09,0,3,0,5,Student,21,8022.98,60,Student,POS Purchase,Debit,9200.0,SG,0,1,12,56,636.84,3145.27,5,0.389,1,0,1.0
TXN0001277,2023-09-27 11:54:27,11,2,0,9,Checking,101,16652.25,24,SME,POS Purchase,Credit,1257.9,NG,1,1,4,21,,763.0,9,0.215,0,2,
TXN0003404,2023-11-02 01:11:14,1,3,0,11,Checking,30,12838.16,46,SME,POS Purchase,Credit,539.75,DE,0,1,5,24,147.06,724.48,9,0.359,0,0,2.0
TXN0003708,2023-07-17 17:38:02,17,0,0,7,Business,5,25464.21,28,Retail,ATM Withdrawal,Debit,95.03,NG,1,1,7,33,56.89,100.15,8,0.093,0,0,3.0
TXN0006695,2023-07-11 03:49:33,3,1,0,7,Savings,58,16162.44,65,SME,ACH,Credit,240.61,US,0,0,7,33,185.93,766.71,7,0.021,0,0,2.0
TXN0003948,2023-11-01 00:45:49,0,2,0,11,Checking,46,7904.25,45,Retail,ATM Withdrawal,Credit,764.74,US,0,0,8,41,472.88,877.99,5,0.052,0,0,2.0
TXN0002357,2023-03-26 07:35:29,7,6,1,3,business ,14,58129.55,18,SME,Direct Deposit,Debit,900.73,US,0,0,5,19,378.33,1948.75,5,0.219,0,0,1.0
TXN0001889,2023-01-01 21:22:33,21,6,1,1,Checking,57,10648.43,33,Retail,Direct Deposit,Debit,1100.0,US,0,0,4,18,69.69,233.87,5,0.025,0,0,1.0
TXN0006532,2023-09-25 19:27:00,19,0,0,9,Checking,56,14357.29,24,Retail,ACH,Credit,258.57,US,0,0,12,64,124.04,267.85,6,0.012,0,0,1.0
TXN0003098,2023-05-02 16:53:38,16,1,0,5,Checking,106,92953.86,37,Corporate,WIRE TRANSFER,Credit,335.26,AE,1,1,5,25,1057.35,4737.03,8,0.055,0,0,3.0
TXN0000819,2023-11-25 16:06:32,16,5,1,11,Savings,20,3959.21,46,Retail,Wire Transfer,Debit,1660.05,SG,0,1,9,41,243.51,760.06,7,0.117,0,0,
TXN0006064,2023-05-07 14:10:37,14,6,1,5,Checking,20,6093.06,46,Student,Internal Transfer,Debit,300.0,US,0,0,7,26,341.49,1516.11,6,0.109,0,0,3.0
TXN0007823,2023-06-26 20:11:43,20,0,0,6,Checking,19,14780.82,59,Student,POS Purchase,Credit,31.46,,0,0,7,35,360.32,1700.82,7,0.109,0,0,5.0
TXN0001566,2023-10-21 19:26:51,19,5,1,10,Savings,1,70136.88,41,Student,Direct Deposit,Debit,541.56,UK,0,1,9,41,,721.18,3,0.019,0,0,3.0
TXN0006357,2023-04-13 15:07:19,15,3,0,4,Checking,28,25538.7,32,Student,Bill Payment,Debit,1124.36,US,0,0,3,16,167.28,662.84,19,0.206,0,1,1.0
TXN0003443,2023-07-08 17:16:44,17,5,1,7,Savings,17,8751.49,38,Wealth,ACH,Debit,741.83,CN,0,1,3,16,129.54,689.77,2,0.112,0,0,1.0
TXN0004315,2023-07-14 13:17:04,13,4,0,7,Student,42,6868.51,48,Corporate,ACH,Credit,56.82,US,0,0,7,33,66.11,163.03,11,0.041,0,1,3.0
TXN0006662,2023-12-04 20:06:05,20,0,0,12,Savings,40,146941.07,36,SME,Internal Transfer,Credit,363.03,US,0,0,7,35,219.7,539.88,7,0.333,0,0,2.0
TXN0001097,2023-03-25 15:15:38,15,5,1,3,Savings,64,17805.3,35,Student,Bill Payment,Credit,577.07,US,0,0,14,67,216.42,560.97,5,0.167,0,0,1.0
TXN0000332,2023-11-08 19:04:31,19,2,0,11,Business,10,3769.85,42,Retail,ATM Withdrawal,Credit,1204.08,US,0,0,5,19,214.67,1087.38,8,0.172,0,0,3.0
TXN0002215,2023-10-07 09:09:13,9,5,1,10,Checking,12,6444.09,21,SME,POS Purchase,Debit,403.28,US,0,0,5,25,305.47,670.61,8,0.063,0,0,4.0
TXN0007879,2023-09-03 13:11:00,13,6,1,9,Business,41,5228.43,43,Student,Wire transfer,Debit,1138.18,UK,0,1,9,36,177.86,829.6,6,0.024,0,0,1.0
TXN0001522,2023-02-06 17:53:00,17,0,0,2,Checking,36,30299.17,29,SME,ACH,Debit,4272.74,US,0,0,3,16,371.83,2010.56,8,0.019,0,0,1.0
TXN0004485,2023-04-15 17:52:32,17,5,1,4,Business,36,44830.01,19,SME,Internal Transfer,Debit,119.37,US,0,0,9,48,299.88,1340.76,8,0.137,0,0,1.0
TXN0001704,2023-09-19 22:48:03,22,1,0,9,Checking,1,1828.16,29,SME,Direct Deposit,Debit,21.05,UK,0,1,4,15,,2457.75,7,0.092,0,0,1.0
TXN0005259,2023-04-18 21:25:49,21,1,0,4,Business,59,1801.57,34,Retail,Internal Transfer,Debit,185.99,US,0,0,10,44,122.44,361.66,6,0.182,0,0,3.0
TXN0007598,2023-03-13 04:13:33,4,0,0,3,Checking,8,12526.9,41,Corporate,Internal Transfer,Credit,686.85,US,0,0,10,39,278.42,843.14,6,0.124,0,0,4.0
TXN0001480,2023-09-09 03:06:26,3,5,1,9,Savings,37,57780.73,50,SME,POS Purchase,Debit,197.46,US,0,0,6,32,60.97,359.05,7,0.213,0,0,4.0
TXN0001943,2023-12-08 06:48:31,6,4,0,12,Savings,1,6843.5,24,Corporate,POS Purchase,Credit,287.15,US,0,0,4,17,,741.68,9,0.054,0,0,4.0
TXN0001523,2023-05-07 03:11:12,3,6,1,5,Savings,4,7874.46,56,Retail,POS Purchase,Debit,300.0,US,0,0,7,25,277.39,1310.92,5,0.202,0,0,2.0
TXN0002928,2023-10-20 19:13:27,19,4,0,10,Checking,64,49403.35,27,Retail,Check,Debit,12.22,,0,0,9,34,197.9,688.82,10,0.122,0,0,
TXN0001454,2023-09-18 11:09:00,11,0,0,9,Checking,4,16029.11,32,Wealth,Direct Deposit,Credit,60.98,US,0,0,9,37,334.26,1800.92,9,0.218,0,0,2.0
TXN0000641,2023-07-28 03:28:30,3,4,0,7,Savings,41,18956.88,18,SME,Bill Payment,Credit,27.92,US,0,0,52,21,491.65,2489.81,60,0.142,0,0,4.0
TXN0001404,2023-11-09 13:59:06,13,3,0,11,Savings,2,5216.57,33,Retail,ATM Withdrawal,Credit,584.58,US,0,0,4,18,52.77,123.59,7,0.259,0,0,1.0
TXN0004417,2023-09-30 09:55:56,9,5,1,9,Savings,20,12192.53,29,SME,Bill Payment,Debit,1842.59,US,0,0,4,15,87.5,207.48,6,0.098,0,1,3.0
TXN0002052,2023-09-21 22:51:32,22,3,0,9,Savings,156,127490.06,57,SME,Direct Deposit,Debit,396.42,US,0,0,6,22,493.9,1576.5,6,0.077,0,0,3.0
