transaction_id,timestamp,hour_of_day,day_of_week,is_weekend,month,cardholder_age,account_age_days,credit_limit,merchant_category,merchant_country,is_foreign,transaction_amount,avg_7day_spend,num_txn_24h,num_txn_7d,days_since_last_txn,distinct_merchants_7d,declined_last_30d,channel,device_type,is_fraud
TXN0006498,2023-09-19 17:17:30,17,1,0,9,41,192,7800.0,Online_Retail,US,0,40.32,257.7,4,5,0.5,3,0,Contactless,Unknown,0
TXN0007088,2023-10-14 07:40:44,7,5,1,10,64,59,45700.0,Luxury,US,0,66.21,326.53,0,7,1.3,7,4,Contactless,Desktop,1
TXN0001820,2023-03-18 12:53:14,12,5,1,3,35,184,12500.0,Grocery,US,0,40.32,432.98,1,11,0.0,4,0,Contactless,POS,0
TXN0005980,2023-08-31 09:30:40,9,3,0,8,43,632,19000.0,Gas,US,0,17.16,359.97,2,18,7.7,6,0,Chip,Mobile,0
TXN0004665,2023-07-10 19:46:37,19,0,0,7,21,182,13700.0,Restaurant,US,0,38.32,2213.16,6,17,0.1,8,0,Online,Unknown,0
TXN0008484,2023-12-10 19:12:17,19,6,1,12,45,1692,32600.0,Travel,US,0,13.44,33.35,4,8,7.7,1,5,Chip,Desktop,0
TXN0007981,2023-11-20 10:32:10,10,0,0,11,38,102,48600.0,ATM,US,0,181.95,,3,7,1.4,5,0,Chip,Mobile,0
TXN0000254,2023-01-11 16:54:45,16,2,0,1,31,736,6400.0,Restaurant,US,0,20.44,339.69,3,11,0.5,4,0,Online,Desktop,0
TXN0007982,2023-11-20 10:39:07,10,0,0,11,38,507,4200.0,Gas,US,0,122.48,96.75,1,18,2.8,5,0,Online,Unknown,0
TXN0006607,2023-09-24 05:55:21,5,6,1,9,54,508,17500.0,Gas,US,0,85.39,143.96,4,10,3.2,5,0,Contactless,POS,0
TXN0007974,2023-11-20 05:42:38,5,0,0,11,36,1737,12900.0,Restaurant,CN,1,30.6,962.72,1,10,1.2,5,0,Chip,Mobile,0
TXN0007268,2023-10-22 04:09:23,4,6,1,10,45,30,18200.0,Entertainment,US,0,50.46,357.11,6,8,1.0,3,0,Chip,Desktop,0
TXN0000893,2023-02-06 17:00:28,17,0,0,2,62,1964,22000.0,Online_Retail,US,0,540.2,129.64,0,7,0.7,5,0,Chip,POS,0
TXN0005134,2023-07-27 22:40:45,22,3,0,7,21,1582,2800.0,Electronics,US,0,4.41,558.66,2,13,5.8,5,0,Chip,POS,0
TXN0000534,2023-01-22 23:42:19,23,6,1,1,36,138,11800.0,Restaurant,US,0,2.84,67.94,7,12,2.0,4,2,Chip,Desktop,0
TXN0000929,2023-02-08 03:31:14,3,2,0,2,62,336,9700.0,Gas,UK,1,43.26,85.73,3,11,10.5,8,1,Swipe,Desktop,0
TXN0006852,2023-10-04 23:51:01,23,2,0,10,59,54,61000.0,Electronics,US,0,27.42,139.29,6,10,0.2,2,0,Chip,Mobile,0
TXN0001057,2023-02-13 02:34:57,2,0,0,2,36,500,5100.0,Electronics,US,0,83.4,158.88,2,8,2.8,5,0,Chip,Desktop,0
TXN0001284,2023-02-23 01:41:04,1,3,0,2,33,736,20000.0,Grocery,US,0,52.05,454.2,2,16,0.0,6,1,Chip,POS,0
TXN0004152,2023-06-19 12:12:54,12,0,0,6,20,425,5800.0,Grocery,US,0,104.56,264.41,2,13,1.1,13,0,Chip,ATM,0
TXN0001478,2023-03-03 19:39:11,19,4,0,3,47,1434,12800.0,Grocery,UK,1,15.22,116.31,2,13,0.0,1,0,Online,Unknown,0
TXN0007139,2023-10-16 15:06:19,15,0,0,10,23,190,34100.0,Online_Retail,US,0,14.16,189.67,2,10,1.7,7,0,Swipe,POS,0
TXN0007388,2023-10-27 03:52:34,3,4,0,10,23,884,9400.0,Gas,RO,1,24.25,103.47,4,11,7.6,4,1,Online,ATM,0
TXN0001318,2023-02-24 15:43:50,15,4,0,2,41,82,13000.0,Grocery,US,0,73.94,296.35,4,16,2.1,8,2,Swipe,Desktop,0
TXN0005075,2023-07-25 15:27:33,15,1,0,7,47,72,12500.0,Restaurant,US,0,34.51,141.59,3,6,2.7,5,1,Chip,POS,0
TXN0005496,2023-08-11 23:51:26,23,4,0,8,38,713,6600.0,Grocery,US,0,41.67,371.5,3,11,12.5,6,1,Swipe,POS,0
TXN0004202,2023-06-21 10:11:12,10,2,0,6,41,655,4100.0,Healthcare,US,0,148.79,131.28,2,8,0.6,3,0,Chip,POS,0
TXN0008645,2023-12-17 13:02:05,13,6,1,12,32,1580,6800.0,Online_Retail,NG,1,39.03,219.48,2,5,3.1,6,0,Chip,Mobile,0
TXN0000162,2023-01-07 08:07:12,8,5,1,1,42,939,17300.0,Grocery,US,0,171.23,231.11,5,22,4.3,1,0,Online,Unknown,0
TXN0001059,2023-02-13 03:20:00,3,0,0,2,45,362,24900.0,Online_Retail,US,0,104.76,1288.37,2,13,3.7,8,1,Online,Mobile,0
TXN0002603,2023-04-19 08:59:23,8,2,0,4,35,136,5100.0,Healthcare,NG,1,288.04,242.63,3,9,3.2,6,1,Swipe,POS,0
TXN0005905,2023-08-28 17:15:12,17,0,0,8,37,30,12800.0,Online_Retail,US,0,275.87,163.55,3,13,0.1,7,0,Chip,Mobile,0
TXN0002778,2023-04-27 03:53:03,3,3,0,4,22,271,18300.0,Entertainment,US,0,54.98,965.25,4,5,2.3,3,0,Contactless,Desktop,0
TXN0007896,2023-11-16 10:27:30,10,3,0,11,57,94,24900.0,Gas,US,0,848.37,159.44,4,15,11.9,1,0,Chip,ATM,0
TXN0000808,2023-02-03 12:18:34,12,4,0,2,58,284,17400.0,Luxury,RO,1,140.84,198.9,0,6,1.1,8,5,Online,POS,0
TXN0000544,2023-01-23 09:23:05,9,0,0,1,64,5000,9100.0,Gas,US,0,150.99,91.87,2,10,5.2,6,3,ATM,Mobile,0
TXN0004819,2023-07-16 10:57:38,10,6,1,7,62,619,6400.0,Online_Retail,CA,1,9.4,490.8,7,12,0.3,3,0,Swipe,POS,0
TXN0005856,2023-08-26 22:39:22,22,5,1,8,58,338,13500.0,Gas,RO,1,330.77,107.65,2,11,1.0,6,1,Chip,Mobile,0
TXN0000609,2023-01-25 13:26:49,13,2,0,1,71,135,5800.0,Grocery,US,0,61.34,101.9,1,11,0.3,5,0,Chip,POS,0
TXN0001138,2023-02-16 10:10:07,10,3,0,2,36,2141,3200.0,Luxury,US,0,65.32,344.0,3,10,0.0,9,1,Swipe,Mobile,0
TXN0007522,2023-10-31 13:41:09,13,1,0,10,41,1804,4400.0,Online_Retail,US,0,150.02,59.66,0,19,4.0,8,1,Contactless,Mobile,0
TXN0007360,2023-10-25 21:39:32,21,2,0,10,39,244,12800.0,Restaurant,US,0,71.17,164.71,1,18,1.5,5,0,Chip,Unknown,0
