hour_of_day,day_of_week,is_weekend,month,cardholder_age,account_age_days,credit_limit,is_foreign,transaction_amount,avg_7day_spend,num_txn_24h,num_txn_7d,days_since_last_txn,distinct_merchants_7d,declined_last_30d,merchant_country_missing,days_since_last_missing,amount_to_limit_ratio,amount_vs_7day_avg,txn_velocity_ratio,merchant_concentration,is_late_night,is_business_hours,is_new_account,log_account_age,log_transaction_amount,foreign_online,new_account_high_amount,late_night_foreign,merchant_category,merchant_country,channel,device_type,is_fraud
17,1,0,9,41,192,7800.0,0,40.32,257.7,4,5,0.5,3,0,0,0,0.005169230769230769,0.15646100116414435,5.6,1.6666666666666667,0,1,0,5.262690188904886,3.721346644251438,0,0,0,Online_Retail,US,Contactless,Unknown,0
7,5,1,10,64,59,45700.0,0,66.21,326.53,0,7,1.3,7,4,0,0,0.001448796498905908,0.20276850519094722,0.0,1.0,0,0,1,4.0943445622221,4.2078220459818745,0,0,0,Luxury,US,Contactless,Desktop,1
12,5,1,3,35,184,12500.0,0,40.32,432.98,1,11,0.0,4,0,0,0,0.0032256,0.09312208416093122,0.6363636363636364,2.75,0,1,0,5.220355825078324,3.721346644251438,0,0,0,Grocery,US,Contactless,POS,0
9,3,0,8,43,632,19000.0,0,17.16,359.97,2,18,7.7,6,0,0,0,0.0009031578947368422,0.047670639219934995,0.7777777777777777,3.0,0,1,0,6.450470422144176,2.8992213731731473,0,0,0,Gas,US,Chip,Mobile,0
19,0,0,7,21,182,13700.0,0,38.32,2213.16,6,17,0.1,8,0,0,0,0.002797080291970803,0.01731460897540169,2.4705882352941178,2.125,0,0,0,5.209486152841421,3.671733295278966,0,0,0,Restaurant,US,Online,Unknown,0
19,6,1,12,45,1692,32600.0,0,13.44,33.35,4,8,7.7,1,5,0,0,0.0004122699386503067,0.4029985007496252,3.5,8.0,0,0,0,7.4342573821331355,2.67000213346468,0,0,0,Travel,US,Chip,Desktop,0
10,0,0,11,38,102,48600.0,0,181.95,237.24,3,7,1.4,5,0,0,0,0.003743827160493827,0.766944865958523,3.0,1.4,0,1,0,4.634728988229636,5.209212891465215,0,0,0,ATM,US,Chip,Mobile,0
16,2,0,1,31,736,6400.0,0,20.44,339.69,3,11,0.5,4,0,0,0,0.0031937500000000004,0.060172510229915516,1.9090909090909092,2.75,0,1,0,6.602587892189336,3.0652583362026014,0,0,0,Restaurant,US,Online,Desktop,0
10,0,0,11,38,507,4200.0,0,122.48,96.75,1,18,2.8,5,0,0,0,0.029161904761904764,1.2659431524547804,0.38888888888888884,3.6,0,1,0,6.230481447578482,4.8160791996339585,0,0,0,Gas,US,Online,Unknown,0
5,6,1,9,54,508,17500.0,0,85.39,143.96,4,10,3.2,5,0,0,0,0.004879428571428572,0.593150875243123,2.8,2.0,0,0,0,6.2324480165505225,4.458871928370793,0,0,0,Gas,US,Contactless,POS,0
5,0,0,11,36,1737,12900.0,1,30.6,962.72,1,10,1.2,5,0,0,0,0.002372093023255814,0.03178494266245637,0.7,2.0,0,0,0,7.460490305825338,3.4531571205928664,0,0,0,Restaurant,CN,Chip,Mobile,0
4,6,1,10,45,30,18200.0,0,50.46,357.11,6,8,1.0,3,0,0,0,0.0027725274725274728,0.14130099969197166,5.25,2.6666666666666665,1,0,1,3.4339872044851463,3.940804806853598,0,0,0,Entertainment,US,Chip,Desktop,0
17,0,0,2,62,1964,22000.0,0,540.2,129.64,0,7,0.7,5,0,0,0,0.024554545454545457,4.166923788954027,0.0,1.4,0,1,0,7.583247524303362,6.293788896296633,0,0,0,Online_Retail,US,Chip,POS,0
22,3,0,7,21,1582,2800.0,0,4.41,558.66,2,13,5.8,5,0,0,0,0.001575,0.007893888948555472,1.0769230769230769,2.6,0,0,0,7.367077059881012,1.6882490928583902,0,0,0,Electronics,US,Chip,POS,0
23,6,1,1,36,138,11800.0,0,2.84,67.94,7,12,2.0,4,2,0,0,0.0002406779661016949,0.04180158963791581,4.083333333333334,3.0,0,0,0,4.9344739331306915,1.3454723665996355,0,0,0,Restaurant,US,Chip,Desktop,0
3,2,0,2,62,336,9700.0,1,43.26,85.73,3,11,10.5,8,1,0,0,0.00445979381443299,0.5046074886270849,1.9090909090909092,1.375,1,0,0,5.820082930352362,3.7900813346229034,0,0,1,Gas,UK,Swipe,Desktop,0
23,2,0,10,59,54,61000.0,0,27.42,139.29,6,10,0.2,2,0,0,0,0.0004495081967213115,0.19685548136980402,4.2,5.0,0,0,1,4.007333185232471,3.3470931226689546,0,0,0,Electronics,US,Chip,Mobile,0
2,0,0,2,36,500,5100.0,0,83.4,158.88,2,8,2.8,5,0,0,0,0.01635294117647059,0.5249244712990937,1.75,1.6,1,0,0,6.2166061010848646,4.4355674016019115,0,0,0,Electronics,US,Chip,Desktop,0
1,3,0,2,33,736,20000.0,0,52.05,454.2,2,16,0.0,6,1,0,0,0.0026024999999999998,0.11459709379128137,0.875,2.6666666666666665,1,0,0,6.602587892189336,3.971234865059992,0,0,0,Grocery,US,Chip,POS,0
12,0,0,6,20,425,5800.0,0,104.56,264.41,2,13,1.1,13,0,0,0,0.018027586206896554,0.3954464657161227,1.0769230769230769,1.0,0,1,0,6.054439346269371,4.659279511635123,0,0,0,Grocery,US,Chip,ATM,0
