age,credit_score,loan_term_months,num_open_accounts,num_late_payments,fed_funds_rate,interest_rate_offered,annual_income_log,loan_amount_log,existing_debt_log,employment_years_log,dti_ratio_log,employment_type_Retired,employment_type_Salaried,employment_type_Self-Employed,employment_type_Unemployed,loan_purpose_Business,loan_purpose_Debt Consolidation,loan_purpose_Education,loan_purpose_Home Improvement,loan_purpose_Medical,loan_purpose_Vacation,origination_quarter_Q2,origination_quarter_Q3,origination_quarter_Q4
42,367.0,60,2,3,1.374,3.497,10.370535881681178,11.643962499267984,9.7376011949052,2.2512917986064953,0.10093071857844059,False,True,False,False,False,True,False,False,False,False,False,False,True
36,360.0,12,5,0,5.278,4.37,10.61132431100543,9.546884034617925,8.591041987129504,2.1400661634962708,0.12451587469756756,False,True,False,False,False,False,False,False,False,False,True,False,False
49,355.0,36,1,0,0.036,2.5,10.65139939530839,9.908524844053396,10.298859226218964,2.9391619220655967,0.21050400776774597,False,True,False,False,False,True,False,False,False,False,False,False,False
37,363.0,84,5,0,5.108,4.989,11.322048212367399,11.732069026983156,9.935557277441157,0.33647223662121295,0.0350775266126961,False,True,False,False,False,False,False,True,False,False,False,False,True
26,308.0,48,1,2,0.127,6.249,11.077977116265666,10.43708198835482,12.349031472420279,2.33214389523559,0.637211548229642,False,False,False,False,False,True,False,False,False,False,False,True,False
47,374.0,36,2,2,5.133,7.602,11.279811372598626,11.578722568760277,9.176636731749221,0.4054651081081644,0.039893563661676665,False,False,True,False,False,False,False,True,False,False,False,True,False
22,300.0,48,0,0,1.722,6.49,9.318080254693784,10.729875458480967,7.4481824225238675,0.0,0.03777736433402994,False,False,False,True,False,False,False,False,False,False,True,False,False
22,300.0,48,1,0,0.202,2.5,11.210476496616932,10.74937727911096,10.153963740703045,2.6461747973841225,0.0833296075870042,False,False,True,False,False,False,False,True,False,False,False,False,True
26,348.0,48,4,2,0.17,2.5,11.076134072543935,11.61999352194924,9.975718442644556,0.8754687373538999,0.07991962317587349,False,False,False,False,True,False,False,False,False,False,False,False,False
32,330.0,36,7,2,5.085,6.557,11.318308508597573,10.448743588106625,8.636697411650918,0.4700036292457356,0.022543964434894505,False,False,False,False,False,False,False,False,False,False,False,False,True
46,447.0,60,6,4,1.596,8.543,10.726034916514868,10.445840912706414,9.573113683016766,1.3862943611198906,0.6719746153271443,False,False,True,False,False,False,False,False,False,False,True,False,False
41,365.0,48,2,0,0.205,2.5,10.92657371009214,10.502351525774941,9.875902047063246,0.6418538861723948,0.08378952572968325,False,False,False,False,False,True,False,False,False,False,True,False,False
29,420.0,36,3,0,4.925,4.5,11.416542640087808,10.628641991731053,8.869597830568166,3.1484533605716547,0.025765207886026414,False,False,True,False,False,True,False,False,False,False,True,False,False
37,380.0,48,3,0,1.526,2.539,10.097643802271175,9.841665338892785,10.295754615003448,1.7227665977411035,0.2660497723246671,False,False,False,False,False,True,False,False,False,False,True,False,False
56,390.0,36,4,0,1.824,2.5,11.260719024679162,10.069044362997353,9.68745552925683,2.2192034840549946,0.06681717303731714,False,True,False,False,True,False,False,False,False,False,True,False,False
27,362.0,12,5,4,0.169,18.214,10.726034916514868,9.169622538697624,9.339490556107645,2.2925347571405443,1.252762968495368,False,False,False,True,False,False,False,True,False,False,False,False,True
36,348.0,24,11,2,4.958,5.417,11.213075395126264,9.425532393502772,11.05026520705324,1.6094379124341003,0.3541016358196061,False,True,False,False,False,False,False,False,True,False,True,False,False
42,345.0,60,5,0,4.831,6.592,10.847933577922225,10.250652418696085,10.963699045160372,0.6931471805599453,0.20253259741008536,False,False,True,False,False,False,False,True,False,False,False,True,False
43,356.0,60,4,2,0.248,2.5,10.510752718137002,10.716659698193956,9.702528593307747,1.547562508716013,0.0853516670995037,False,True,False,False,False,False,False,True,False,False,False,True,False
22,313.0,60,3,0,0.163,2.5,10.01301258454552,10.12667110305036,9.078990597890437,0.9932517730102833,0.0756639039209896,False,False,False,False,False,False,False,True,False,False,False,False,False
44,337.0,24,4,0,5.271,4.984,10.920573575268813,10.510559281627845,10.13514713926667,1.9315214116032138,0.20538682972495073,False,False,False,False,False,False,True,False,False,False,False,False,True
38,443.0,48,3,0,0.184,2.5,10.896174165873765,11.002116507732017,8.77754466234244,3.0492730404820207,0.0295588022415444,False,True,False,False,False,False,False,False,True,False,True,False,False
47,346.0,12,1,0,4.641,7.729,10.698759368937345,10.545367754151743,9.957802900915063,2.5416019934645457,0.38974214764292814,False,False,True,False,False,False,False,False,False,False,False,False,True
40,300.0,60,4,0,5.164,9.827,9.039855682238093,11.981058595924264,10.632699268834228,0.5877866649021191,0.6849133756328417,False,True,False,False,False,True,False,False,False,False,False,False,False
34,376.0,60,4,1,1.554,2.5,10.49928482445855,10.177362240256695,8.923834940344339,2.5952547069568657,0.040565961746661654,False,True,False,False,False,True,False,False,False,False,False,False,True
51,348.0,60,3,1,0.302,2.716,10.726034916514868,11.866402300407264,9.734211136686891,0.7419373447293773,0.7540541154634667,False,True,False,False,True,False,False,False,False,False,False,True,False
51,312.0,84,2,0,0.04,2.5,10.768404986822562,8.699681400989514,10.829051950734073,0.8754687373538999,0.14132593609043495,True,False,False,False,False,False,False,True,False,False,False,False,True
28,300.0,36,4,0,1.951,2.5,11.116976880763314,10.563620718477313,9.221387131234957,0.33647223662121295,0.048885397729810626,False,True,False,False,True,False,False,False,False,False,False,True,False
35,300.0,48,4,0,0.167,2.5,9.721864951415736,11.644839300053654,10.291837359251165,0.832909122935104,0.3661003845858877,False,True,False,False,False,False,True,False,False,False,True,False,False
31,327.0,36,4,1,1.745,4.23,10.695195986066715,10.488520429241627,10.627213645915813,2.970414465569701,0.271095268847382,False,True,False,False,True,False,False,False,False,False,True,False,False
52,300.0,48,6,2,5.167,6.802,10.51281199426484,10.370392636243981,7.187967017843803,1.7047480922384253,0.008959741371471902,False,True,False,False,False,False,False,False,True,False,False,False,True
51,390.0,60,3,1,4.912,9.589,10.726034916514868,10.980212041446208,9.618804312421867,2.4595888418037104,0.6945961303250497,False,True,False,False,False,True,False,False,False,False,False,False,True
