borrower_id,age,employment_type,employment_years,annual_income,credit_score,loan_amount,loan_term_months,loan_purpose,existing_debt,num_open_accounts,num_late_payments,dti_ratio,origination_date,origination_year,origination_quarter,fed_funds_rate,interest_rate_offered
BRW02525,42,Salaried,8.5,31904.57,367.0,114000.0,60,Debt Consolidation,16941.85,2,3,0.1062,2022-12-02,2022,Q4,1.374,3.497
BRW02922,36,Salaried,7.5,40590.92,360.0,14000.0,12,Auto,5382.22,5,0,0.1326,2023-06-20,2023,Q2,5.278,4.37
BRW00889,49,Salaried,17.9,42250.68,355.0,20100.0,36,Debt Consolidation,29697.72,1,0,0.2343,2021-03-03,2021,Q1,0.036,2.5
BRW00657,37,Salaried,0.4,82622.4,363.0,124500.0,84,Home Improvement,20650.79,5,0,0.0357,2023-10-26,2023,Q4,5.108,4.989
BRW04316,26,Contract,9.3,64728.81,308.0,34100.0,48,Debt Consolidation,230735.46,1,2,0.8912,2021-08-17,2021,Q3,0.127,6.249
BRW00838,47,Self-Employed,0.5,79205.32,374.0,106800.0,36,Home Improvement,9667.58,2,2,0.0407,2023-08-26,2023,Q3,5.133,7.602
BRW02344,22,Unemployed,0.0,11136.58,300.0,45700.0,48,Auto,1715.74,0,0,0.0385,2022-05-19,2022,Q2,1.722,6.49
BRW02146,22,Self-Employed,13.1,73899.62,300.0,46600.0,48,Home Improvement,25691.74,1,0,0.0869,2021-12-04,2021,Q4,0.202,2.5
BRW00199,26,Contract,1.4,64609.62,,111300.0,48,Business,21497.07,4,2,0.0832,2021-01-27,2021,Q1,0.17,2.5
BRW02846,32,Contract,0.6,82313.99,330.0,34500.0,36,Auto,5633.69,7,2,0.0228,2023-10-12,2023,Q4,5.085,6.557
BRW04391,46,Self-Employed,3.0,,447.0,34400.0,60,Auto,14372.1,6,4,0.9581,2022-04-08,2022,Q2,1.596,8.543
BRW04713,41,Contract,0.9,55634.33,365.0,36400.0,48,Debt Consolidation,19454.83,2,0,0.0874,2021-06-11,2021,Q2,0.205,2.5
BRW00084,29,Self-Employed,22.3,90810.63,420.0,41300.0,36,Debt Consolidation,7111.42,3,0,0.0261,2023-06-27,2023,Q2,4.925,4.5
BRW01117,37,Contract,4.6,24284.72,380.0,18800.0,48,Debt Consolidation,29605.66,3,0,0.3048,2022-06-29,2022,Q2,1.526,2.539
BRW00393,56,Salaried,8.2,77707.43,390.0,23600.0,36,Business,16113.19,4,0,0.0691,2022-04-11,2022,Q2,1.824,2.5
BRW00033,27,Unemployed,8.9,,362.0,9600.0,12,Home Improvement,11377.61,5,4,2.5,2021-12-30,2021,Q4,-0.169,18.214
BRW01370,36,Salaried,4.0,74091.93,,12400.0,24,Medical,62959.65,11,2,0.4249,2023-04-19,2023,Q2,4.958,5.417
BRW03639,42,Self-Employed,1.0,51426.77,345.0,28300.0,60,Home Improvement,57738.63,5,0,0.2245,2023-07-11,2023,Q3,4.831,6.592
BRW02796,43,Salaried,3.7,36707.1,356.0,45100.0,60,Home Improvement,16357.92,4,2,0.0891,2021-07-04,2021,Q3,0.248,2.5
BRW04100,22,Contract,1.7,22313.96,313.0,25000.0,60,Home Improvement,8768.11,3,0,0.0786,2021-01-23,2021,Q1,0.163,2.5
